,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290
0,849.0,857.0,902.1666666666666,733.25,900.5,800.6666666666666,739.75,907.0,728.4166666666666,733.3333333333334,701.1666666666666,636.75,678.5833333333334,654.3333333333334,604.4166666666666,739.75,617.25,638.3333333333334,673.6666666666666,535.25,837.6666666666666,857.1666666666666,1000.4166666666666,1325.3333333333333,1653.6666666666667,2072.0,2596.5833333333335,2915.25,3780.9166666666665,4645.083333333333,5660.333333333333,6487.416666666667,6852.666666666667,7214.833333333333,7515.75,7588.0,7795.5,7658.75,7422.333333333333,7317.833333333333,6949.25,6810.833333333333,6897.833333333333,7000.833333333333,7573.5,7787.583333333333,8239.833333333334,8840.0,9250.416666666666,9892.333333333334,10489.083333333334,10851.416666666666,11393.583333333334,11707.25,11898.833333333334,12315.666666666666,12314.166666666666,12556.916666666666,12764.5,12478.083333333334,12792.0,12541.0,12571.5,12626.0,12336.583333333334,12465.416666666666,12648.666666666666,12851.583333333334,13202.25,13266.75,13369.75,13664.083333333334,14039.0,14605.5,15398.666666666666,15852.416666666666,16663.5,17221.75,18142.333333333332,19172.0,19881.75,20713.583333333332,21666.166666666668,22583.416666666668,23360.583333333332,23980.166666666668,24586.666666666668,24971.416666666668,24910.25,24850.75,25434.75,24971.333333333332,25143.5,24808.666666666668,24155.5,24001.0,22713.75,22222.75,21202.75,20221.083333333332,19741.75,18655.5,17838.25,17363.416666666668,16533.083333333332,15591.75,14719.666666666666,13718.916666666666,13374.416666666666,12983.416666666666,13108.916666666666,13488.583333333334,13553.0,13828.333333333334,13738.0,13546.583333333334,13561.166666666666,13358.333333333334,12885.333333333334,12949.75,12468.583333333334,12246.416666666666,12116.166666666666,11495.0,11467.5,11039.583333333334,10614.833333333334,10630.833333333334,10227.083333333334,10004.916666666666,9887.583333333334,9301.666666666666,8988.083333333334,8476.416666666666,8162.416666666667,7871.25,7359.5,7142.25,7163.25,6884.833333333333,6987.833333333333,6999.083333333333,6975.0,6942.833333333333,6616.166666666667,6651.5,6587.083333333333,6415.0,6675.583333333333,6558.25,6616.166666666667,6983.083333333333,7031.25,7243.75,7639.583333333333,8006.5,8790.166666666666,9565.833333333334,10626.083333333334,11768.583333333334,12516.75,13912.0,14986.583333333334,16238.666666666666,17350.583333333332,18335.333333333332,18985.5,19345.833333333332,18988.583333333332,18011.916666666668,17080.166666666668,16422.083333333332,16230.666666666666,16362.666666666666,16912.916666666668,17849.333333333332,18702.25,19929.833333333332,21565.0,22646.25,24480.583333333332,25473.25,26609.416666666668,27631.083333333332,28184.75,28312.0,28981.166666666668,28912.083333333332,28612.916666666668,28049.666666666668,27154.916666666668,25771.166666666668,23349.333333333332,20657.333333333332,18047.25,16145.333333333334,15530.75,15841.333333333334,17323.083333333332,19254.166666666668,20769.833333333332,21629.25,22100.666666666668,21930.083333333332,21896.25,21642.166666666668,20810.166666666668,20657.416666666668,19823.75,19128.583333333332,18584.75,17609.5,17027.083333333332,16557.5,16213.083333333334,15804.333333333334,15217.0,14908.0,14595.75,13977.916666666666,13871.75,13382.5,12898.166666666666,12640.666666666666,11700.833333333334,11092.833333333334,10352.75,9417.833333333334,8717.666666666666,8014.416666666667,7581.666666666667,7388.666666666667,7166.5,7008.75,7136.083333333333,7031.166666666667,7338.583333333333,7214.666666666667,7105.333333333333,7230.75,7242.0,7385.333333333333,7547.833333333333,7412.666666666667,7589.666666666667,7621.833333333333,7645.833333333333,7906.833333333333,7596.0,7645.916666666667,7615.333333333333,7399.75,7393.333333333333,7118.166666666667,6933.0,6843.083333333333,6563.25,6519.5,6424.583333333333,6386.25,6484.166666666667,6394.083333333333,6203.916666666667,6178.333333333333,5972.583333333333,5821.25,5937.083333333333,5662.0,5642.75,5440.0,5295.166666666667,5452.833333333333,5053.75,5151.833333333333,5056.75,4730.416666666667,4879.916666666667,4804.25,4459.916666666667,4577.5,4271.75,4228.166666666667,4125.25,3885.5833333333335,3938.5,3552.4166666666665,3333.5833333333335,3393.1666666666665,2.0,10.5,5.439999999999999
0,803.8333333333334,850.5,890.8333333333334,709.1666666666666,884.4166666666666,781.5,726.8333333333334,879.5,697.8333333333334,718.75,673.8333333333334,589.9166666666666,651.0833333333334,635.0,581.9166666666666,720.4166666666666,607.5833333333334,601.0833333333334,662.4166666666666,519.1666666666666,834.5,857.1666666666666,1010.0,1344.5,1639.4166666666667,2078.5833333333335,2632.0,2976.3333333333335,3803.4166666666665,4723.75,5742.416666666667,6501.833333333333,6963.666666666667,7374.0,7652.583333333333,7827.75,8088.25,7967.833333333333,7824.666666666667,7750.5,7395.0,7358.0,7568.666666666667,7702.416666666667,8426.333333333334,8649.916666666666,9235.666666666666,9840.833333333334,10307.416666666666,11015.666666666666,11729.916666666666,12125.75,12779.083333333334,13202.166666666666,13483.75,13969.75,14093.666666666666,14344.833333333334,14626.25,14393.0,14756.75,14444.666666666666,14434.916666666666,14531.333333333334,14312.583333333334,14563.583333333334,14748.5,15070.5,15509.833333333334,15593.5,15714.166666666666,15989.25,16410.833333333332,16959.5,17656.25,18103.583333333332,18837.5,19389.333333333332,20197.083333333332,21191.583333333332,21893.166666666668,22525.5,23491.0,24314.833333333332,25127.5,25848.25,26361.5,26786.5,26783.166666666668,26746.166666666668,27328.75,26928.083333333332,27262.833333333332,26985.75,26381.0,26107.5,25006.916666666668,24633.5,23658.166666666668,22768.416666666668,22390.333333333332,21447.416666666668,20744.166666666668,20224.333333333332,19461.916666666668,18375.583333333332,17487.416666666668,16430.333333333332,16068.166666666666,15677.166666666666,15858.75,16402.75,16637.75,16932.25,16945.0,16736.0,16856.583333333332,16599.083333333332,16245.166666666666,16386.583333333332,15799.416666666666,15657.75,15548.25,14758.25,14680.916666666666,14182.25,13726.833333333334,13675.416666666666,13228.083333333334,12936.833333333334,12931.916666666666,12267.5,11887.666666666666,11347.0,10951.166666666666,10645.416666666666,10162.583333333334,9916.416666666666,9889.25,9766.75,9877.666666666666,9900.25,9964.666666666666,9996.833333333334,9720.333333333334,9802.333333333334,9655.75,9527.083333333334,9812.0,9631.583333333334,9771.666666666666,10112.75,10019.416666666666,10183.666666666666,10508.75,10832.25,11493.5,12162.833333333334,13144.25,14256.333333333334,14898.333333333334,16089.083333333334,16951.583333333332,18036.0,18917.833333333332,19722.5,20044.083333333332,20250.25,19677.25,18290.416666666668,17170.333333333332,16364.25,15982.916666666666,16016.583333333334,16454.166666666668,17249.0,18031.25,19103.0,20613.916666666668,21547.166666666668,23178.833333333332,24142.75,25253.083333333332,26139.666666666668,26514.5,26718.833333333332,27274.083333333332,27082.5,26881.416666666668,26331.083333333332,25483.0,24120.25,21833.583333333332,19244.5,16742.333333333332,15044.833333333334,14502.583333333334,14879.083333333334,16238.583333333334,18055.25,19468.166666666668,20192.083333333332,20686.166666666668,20609.083333333332,20461.083333333332,20158.666666666668,19505.333333333332,19365.166666666668,18580.0,17958.916666666668,17392.5,16533.083333333332,15981.25,15508.0,15126.75,14855.0,14252.916666666666,13955.166666666666,13647.916666666666,13125.0,12957.666666666666,12529.75,12032.5,11792.666666666666,10947.833333333334,10383.166666666666,9708.916666666666,8753.166666666666,8209.083333333334,7461.0,7063.5,6931.583333333333,6667.583333333333,6582.25,6661.166666666667,6574.083333333333,6855.833333333333,6756.083333333333,6661.166666666667,6804.416666666667,6762.666666666667,6872.0,7100.333333333333,6963.583333333333,7066.666666666667,7172.916666666667,7179.333333333333,7446.5,7121.416666666667,7155.166666666667,7163.166666666667,6917.083333333333,6910.5,6678.916666666667,6503.583333333333,6427.75,6185.0,6078.75,6104.416666666667,5933.916666666667,6099.75,5946.75,5819.666666666667,5773.0,5547.583333333333,5473.75,5573.333333333333,5356.166666666667,5283.75,5100.5,4955.416666666667,5181.0,4796.25,4847.75,4760.916666666667,4466.5,4543.666666666667,4450.416666666667,4181.75,4299.0,3991.6666666666665,3964.5,3885.5833333333335,3632.8333333333335,3714.9166666666665,3349.75,3148.6666666666665,3203.0833333333335,2.0,7.5,4.9399999999999995
0,778.3333333333334,856.8333333333334,903.75,710.75,869.8333333333334,781.5,728.5,887.6666666666666,707.5833333333334,715.5,689.9166666666666,615.75,662.5,654.3333333333334,580.25,754.25,617.3333333333334,633.4166666666666,670.5,533.6666666666666,828.0833333333334,837.6666666666666,995.5833333333334,1322.1666666666667,1629.5833333333333,2078.4166666666665,2601.5,2929.75,3811.4166666666665,4701.333333333333,5678.25,6534.083333333333,6900.916666666667,7322.666666666667,7626.583333333333,7691.083333333333,7847.083333333333,7758.666666666667,7576.666666666667,7472.333333333333,7074.583333333333,6950.916666666667,7005.666666666667,7148.75,7723.25,8008.0,8411.833333333334,9026.666666666666,9446.666666666666,10079.0,10685.416666666666,11018.666666666666,11580.5,11968.083333333334,12157.916666666666,12512.0,12584.416666666666,12814.5,13049.333333333334,12768.0,13123.416666666666,12862.833333333334,12911.083333333334,12867.666666666666,12640.583333333334,12774.25,13047.833333333334,13290.833333333334,13622.083333333334,13768.916666666666,14000.416666666666,14217.583333333334,14690.666666666666,15295.75,16016.583333333334,16512.166666666668,17292.583333333332,17912.166666666668,18740.916666666668,19699.916666666668,20416.083333333332,21153.083333333332,22005.75,22908.583333333332,23556.833333333332,24226.25,24808.833333333332,25122.5,25196.666666666668,25042.083333333332,25581.25,25194.916666666668,25359.083333333332,24979.333333333332,24416.083333333332,24141.0,23011.583333333332,22555.916666666668,21635.666666666668,20655.75,20198.666666666668,19229.916666666668,18565.416666666668,18013.583333333332,17249.25,16290.25,15419.666666666666,14394.666666666666,13964.916666666666,13673.666666666666,13755.833333333334,14264.25,14301.25,14565.25,14521.833333333334,14346.5,14496.0,14158.0,13823.416666666666,13875.0,13343.75,13139.583333333334,13046.25,12381.583333333334,12264.083333333334,11823.333333333334,11369.5,11438.666666666666,10970.583333333334,10777.416666666666,10703.416666666666,10088.583333333334,9824.75,9211.666666666666,8943.0,8627.583333333334,8128.916666666667,7864.833333333333,7811.666666666667,7644.333333333333,7657.416666666667,7600.833333333333,7575.166666666667,7596.083333333333,7211.583333333333,7263.083333333333,7190.583333333333,6999.083333333333,7256.5,7103.666666666667,7209.916666666667,7499.666666666667,7515.666666666667,7813.5,8197.833333333334,8605.083333333334,9312.916666666666,10042.083333333334,11110.416666666666,12267.333333333334,12930.166666666666,14207.833333333334,15175.083333333334,16324.0,17341.0,18232.333333333332,18641.166666666668,18921.083333333332,18475.5,17291.083333333332,16314.5,15617.583333333334,15366.666666666666,15390.583333333334,15775.333333333334,16639.333333333332,17469.583333333332,18571.916666666668,20093.916666666668,21048.416666666668,22683.25,23742.0,24631.75,25684.166666666668,26083.333333333332,26361.666666666668,26908.75,26733.416666666668,26533.75,25967.416666666668,25084.166666666668,23766.0,21484.5,19016.0,16446.166666666668,14814.583333333334,14256.25,14570.166666666666,16006.916666666666,17756.083333333332,19234.75,19938.0,20401.333333333332,20287.083333333332,20256.666666666668,19954.0,19297.666666666668,19115.666666666668,18365.916666666668,17727.166666666668,17194.5,16251.666666666666,15744.666666666666,15266.666666666666,14890.25,14632.666666666666,14037.416666666666,13717.166666666666,13493.583333333334,12904.5,12764.666666666666,12347.833333333334,11855.416666666666,11670.333333333334,10788.666666666666,10238.25,9560.916666666666,8687.0,8088.5,7348.166666666667,6928.333333333333,6752.833333333333,6551.75,6442.5,6529.25,6435.916666666667,6746.416666666667,6624.166666666667,6527.75,6703.0,6695.083333333333,6727.166666666667,6976.666666666667,6822.166666666667,6982.833333333333,7050.583333333333,7071.5,7320.916666666667,6984.5,7078.0,7024.833333333333,6815.75,6806.0,6579.083333333333,6411.75,6305.583333333333,6064.166666666667,6019.25,5954.833333333333,5941.916666666667,5995.166666666667,5959.666666666667,5740.916666666667,5703.833333333333,5455.916666666667,5383.583333333333,5465.583333333333,5258.083333333333,5183.916666666667,5032.833333333333,4905.583333333333,5116.25,4707.833333333333,4759.333333333333,4699.833333333333,4392.25,4490.583333333333,4413.083333333333,4107.5,4242.75,3940.25,3916.1666666666665,3850.1666666666665,3557.1666666666665,3624.8333333333335,3311.0833333333335,3103.3333333333335,3135.75,2.0,8.400000000000002,4.8999999999999995
0,771.9166666666666,818.3333333333334,884.3333333333334,686.6666666666666,863.5,776.6666666666666,715.75,868.25,701.0833333333334,707.5,680.3333333333334,602.8333333333334,651.25,643.1666666666666,569.0833333333334,717.1666666666666,594.8333333333334,627.0,655.9166666666666,532.0833333333334,820.0833333333334,844.3333333333334,1005.25,1349.5833333333333,1727.5833333333333,2192.5833333333335,2706.0,3058.5833333333335,3916.1666666666665,4837.916666666667,5877.583333333333,6736.833333333333,7116.416666666667,7578.333333333333,7866.333333333333,8069.166666666667,8212.333333333334,8144.75,7980.5,7888.916666666667,7562.166666666667,7534.833333333333,7615.333333333333,7756.916666666667,8429.583333333334,8687.083333333334,9202.0,9763.583333333334,10153.0,10844.916666666666,11466.0,11882.833333333334,12446.083333333334,12970.5,13216.666666666666,13738.166666666666,13770.333333333334,14119.416666666666,14420.25,14130.916666666666,14492.75,14182.333333333334,14267.583333333334,14285.166666666666,14064.916666666666,14325.5,14507.25,14854.833333333334,15260.25,15274.75,15459.916666666666,15543.333333333334,15957.0,16475.0,17167.083333333332,17456.75,18185.666666666668,18634.666666666668,19323.416666666668,20296.916666666668,20917.916666666668,21621.166666666668,22567.333333333332,23312.333333333332,24099.166666666668,24803.833333333332,25379.916666666668,25701.916666666668,25788.916666666668,25714.916666666668,26434.083333333332,25922.416666666668,26310.25,25977.0,25434.833333333332,25325.416666666668,24173.083333333332,23827.25,23029.0,22084.75,21883.416666666668,20876.166666666668,20216.416666666668,19712.833333333332,19016.0,18079.583333333332,17183.25,16124.416666666666,15683.416666666666,15244.166666666666,15474.25,15997.333333333334,16190.333333333334,16444.583333333332,16555.75,16468.666666666668,16627.916666666668,16435.0,16064.833333333334,16211.083333333334,15620.833333333334,15505.083333333334,15335.916666666666,14660.25,14547.416666666666,14085.583333333334,13606.083333333334,13612.666666666666,13166.75,12996.25,13034.916666666666,12394.416666666666,12135.25,11498.083333333334,11155.583333333334,10864.25,10418.583333333334,10127.5,10063.0,9945.333333333334,10132.166666666666,10149.75,10280.166666666666,10262.25,10000.166666666666,10041.916666666666,9939.083333333334,9775.0,10053.333333333334,9868.333333333334,9959.75,10241.5,10186.833333333334,10268.75,10486.166666666666,10674.25,11258.5,11882.833333333334,12827.416666666666,13842.583333333334,14370.583333333334,15543.583333333334,16349.75,17427.833333333332,18201.833333333332,19115.833333333332,19369.916666666668,19584.0,18983.833333333332,17674.0,16565.25,15719.0,15332.75,15376.083333333334,15691.583333333334,16562.166666666668,17258.916666666668,18462.416666666668,19958.916666666668,20858.416666666668,22598.0,23527.916666666668,24617.416666666668,25608.583333333332,26033.333333333332,26138.0,26768.666666666668,26617.583333333332,26514.5,25845.0,25064.583333333332,23693.666666666668,21490.916666666668,18877.583333333332,16438.166666666668,14650.416666666666,14125.916666666666,14396.166666666666,15807.416666666666,17600.0,18970.916666666668,19867.333333333332,20304.916666666668,20219.5,20158.5,19979.916666666668,19228.333333333332,19045.0,18272.5,17654.583333333332,17067.333333333332,16177.5,15683.75,15196.083333333334,14808.25,14537.916666666666,13926.166666666666,13675.333333333334,13374.416666666666,12785.583333333334,12672.916666666666,12253.0,11788.0,11514.25,10730.75,10124.0,9465.916666666666,8556.75,7987.166666666667,7243.666666666667,6825.333333333333,6659.583333333333,6440.666666666667,6373.083333333333,6473.083333333333,6363.333333333333,6686.916666666667,6519.5,6423.083333333333,6625.833333333333,6550.166666666667,6675.666666666667,6923.416666666667,6748.166666666667,6915.5,6967.0,7005.5,7275.916666666667,6966.833333333333,6984.5,6992.583333333333,6778.583333333333,6868.833333333333,6579.166666666667,6392.5,6329.75,6046.416666666667,5982.25,5935.5,5885.75,5988.75,5887.25,5708.5,5684.416666666667,5459.25,5391.666666666667,5504.333333333333,5222.666666666667,5190.416666666667,4987.833333333333,4864.0,5119.75,4699.583333333333,4762.416666666667,4680.416666666667,4385.916666666667,4514.583333333333,4392.416666666667,4110.666666666667,4218.666666666667,3930.6666666666665,3906.3333333333335,3822.8333333333335,3575.0,3619.8333333333335,3283.75,3098.75,3124.4166666666665,2.0,8.299999999999999,4.990000000000001
0,765.4166666666666,828.0,869.9166666666666,688.25,869.9166666666666,773.3333333333334,712.5,886.0,689.75,730.0,686.4166666666666,620.5833333333334,652.75,649.5,586.6666666666666,736.3333333333334,585.0833333333334,623.75,652.8333333333334,504.75,799.25,794.4166666666666,881.25,1148.4166666666667,1388.0833333333333,1758.5,2187.75,2469.5,3253.0,4086.5833333333335,4997.333333333333,5869.583333333333,6329.583333333333,6865.583333333333,7348.333333333333,7612.25,7953.416666666667,7932.5,7829.5,7815.0,7559.083333333333,7556.0,7771.5,7946.833333333333,8749.75,9082.916666666666,9741.166666666666,10441.0,11022.0,11768.666666666666,12494.5,12996.166666666666,13620.583333333334,14166.083333333334,14438.083333333334,14978.833333333334,15083.333333333334,15427.666666666666,15768.833333333334,15498.5,15978.083333333334,15691.416666666666,15665.833333333334,15686.916666666666,15430.833333333334,15627.166666666666,15924.833333333334,16174.25,16488.083333333332,16534.75,16665.0,16806.666666666668,17191.333333333332,17648.25,18311.25,18636.25,19484.25,19743.5,20522.083333333332,21441.0,22021.833333333332,22787.666666666668,23601.833333333332,24540.333333333332,25236.75,25949.75,26451.666666666668,26852.416666666668,26918.416666666668,26846.083333333332,27449.333333333332,26926.416666666668,27298.166666666668,26895.916666666668,26326.25,26110.666666666668,24939.166666666668,24496.583333333332,23602.0,22767.0,22396.75,21249.5,20663.75,20195.583333333332,19318.416666666668,18291.833333333332,17344.166666666668,16264.333333333334,15759.083333333334,15408.5,15543.583333333334,16167.916666666666,16344.833333333334,16676.333333333332,16731.0,16518.75,16694.0,16418.75,16077.75,16130.75,15627.25,15445.333333333334,15274.833333333334,14584.5,14491.25,13908.666666666666,13522.583333333334,13530.5,13089.75,12821.083333333334,12732.5,12129.083333333334,11805.583333333334,11152.166666666666,10785.416666666666,10461.833333333334,9931.0,9675.0,9605.916666666666,9412.75,9589.916666666666,9585.0,9676.75,9666.916666666666,9366.166666666666,9377.416666666666,9303.5,9158.416666666666,9449.916666666666,9226.166666666666,9346.833333333334,9678.333333333334,9620.333333333334,9802.25,10124.0,10416.75,11113.583333333334,11688.166666666666,12663.166666666666,13659.333333333334,14311.083333333334,15474.333333333334,16343.25,17337.5,18237.25,19007.916666666668,19337.916666666668,19447.333333333332,18922.666666666668,17542.083333333332,16391.5,15590.333333333334,15175.083333333334,15221.666666666666,15508.166666666666,16328.75,17038.333333333332,18216.333333333332,19654.833333333332,20623.5,22287.25,23342.916666666668,24350.166666666668,25244.75,25787.25,25870.75,26463.083333333332,26326.25,26216.75,25636.0,24739.666666666668,23492.666666666668,21243.0,18679.666666666668,16150.166666666666,14391.416666666666,13883.0,14243.333333333334,15525.916666666666,17366.75,18723.25,19587.25,20058.75,19979.833333333332,19883.25,19667.666666666668,18926.0,18760.166666666668,17923.5,17340.75,16818.0,15926.5,15493.5,14980.5,14653.75,14341.5,13768.666666666666,13438.75,13158.833333333334,12611.833333333334,12486.166666666666,12051.833333333334,11606.0,11375.916666666666,10528.0,10003.416666666666,9348.416666666666,8445.75,7805.333333333333,7106.916666666667,6740.0,6550.166666666667,6373.333333333333,6260.583333333333,6347.583333333333,6259.0,6574.333333333333,6463.166666666667,6373.166666666667,6509.833333333333,6474.583333333333,6657.833333333333,6907.333333333333,6707.916666666667,6849.5,6976.666666666667,6978.166666666667,7238.833333333333,6945.916666666667,6978.166666666667,7016.75,6760.833333333333,6746.5,6543.666666666667,6374.75,6324.75,6041.583333333333,6024.0,5926.0,5877.666666666667,5993.416666666667,5885.583333333333,5765.083333333333,5710.333333333333,5441.75,5401.416666666667,5481.75,5241.916666666667,5224.25,5026.333333333333,4875.25,5109.916666666667,4662.75,4728.666666666667,4669.25,4369.833333333333,4495.416666666667,4411.75,4136.583333333333,4207.416666666667,3964.5,3914.4166666666665,3800.25,3513.75,3613.5,3296.5,3106.5833333333335,3093.75,2.0,9.400000000000002,5.299999999999999
0,775.1666666666666,826.4166666666666,853.6666666666666,673.6666666666666,839.25,759.0,696.25,863.4166666666666,694.6666666666666,697.8333333333334,667.25,588.4166666666666,660.9166666666666,638.25,580.4166666666666,722.0833333333334,583.5,596.3333333333334,670.5,488.6666666666667,755.8333333333334,765.3333333333334,846.0,1071.0833333333333,1257.8333333333333,1557.0833333333333,1935.25,2141.0833333333335,2796.1666666666665,3443.0833333333335,4197.583333333333,4841.25,5187.416666666667,5613.666666666667,5958.083333333333,6083.5,6369.916666666667,6279.916666666667,6241.25,6197.75,6000.0,5969.25,6149.416666666667,6276.833333333333,6926.666666666667,7168.0,7636.333333333333,8234.833333333334,8671.083333333334,9237.416666666666,9897.333333333334,10233.416666666666,10856.25,11282.583333333334,11482.0,11934.166666666666,12053.25,12331.833333333334,12587.583333333334,12355.916666666666,12785.333333333334,12484.75,12505.5,12680.833333333334,12383.166666666666,12583.0,12811.166666666666,13059.083333333334,13416.333333333334,13458.166666666666,13744.583333333334,13966.666666666666,14427.0,15007.75,15752.833333333334,16211.25,17001.333333333332,17563.0,18322.416666666668,19358.666666666668,20082.833333333332,20837.666666666668,21727.416666666668,22593.0,23363.916666666668,24091.166666666668,24636.5,25087.25,25061.5,25063.083333333332,25608.5,25169.25,25441.166666666668,25058.25,24442.0,24239.25,23141.75,22641.333333333332,21701.583333333332,20666.916666666668,20357.916666666668,19341.166666666668,18647.5,18095.5,17347.333333333332,16288.583333333334,15474.5,14417.166666666666,14030.833333333334,13696.25,13804.083333333334,14293.166666666666,14376.75,14589.25,14687.5,14523.333333333334,14557.0,14270.75,13934.416666666666,14006.75,13405.0,13268.166666666666,13104.083333333334,12394.666666666666,12331.916666666666,11934.333333333334,11532.083333333334,11525.416666666666,11063.75,10923.833333333334,10737.166666666666,10210.916666666666,9913.25,9325.916666666666,8999.25,8663.166666666666,8181.916666666667,7868.166666666667,7914.833333333333,7645.916666666667,7724.75,7697.416666666667,7692.583333333333,7742.416666666667,7409.333333333333,7404.583333333333,7340.25,7153.666666666667,7473.916666666667,7336.916666666667,7378.916666666667,7721.583333333333,7776.5,7976.0,8367.083333333334,8714.583333333334,9522.333333333334,10265.75,11372.666666666666,12462.083333333334,13253.833333333334,14518.583333333334,15532.25,16668.333333333332,17733.5,18768.166666666668,19125.333333333332,19300.75,18811.583333333332,17625.666666666668,16549.333333333332,15749.416666666666,15368.166666666666,15522.666666666666,15855.916666666666,16705.333333333332,17596.916666666668,18766.5,20317.833333333332,21370.083333333332,23090.25,24124.833333333332,25203.0,26149.083333333332,26710.833333333332,26903.916666666668,27388.166666666668,27254.75,27111.416666666668,26438.833333333332,25663.25,24252.083333333332,21928.5,19257.333333333332,16674.833333333332,14909.75,14357.583333333334,14726.083333333334,16145.416666666666,18007.166666666668,19435.916666666668,20353.083333333332,20802.25,20731.333333333332,20666.833333333332,20388.583333333332,19622.583333333332,19452.166666666668,18692.5,18005.416666666668,17369.75,16433.333333333332,15944.166666666666,15472.583333333334,15154.25,14805.0,14198.25,13866.833333333334,13609.333333333334,12988.166666666666,12907.833333333334,12450.666666666666,11955.166666666666,11765.166666666666,10890.0,10302.583333333334,9546.166666666666,8642.083333333334,8030.583333333333,7267.833333333333,6847.75,6696.5,6521.166666666667,6395.666666666667,6495.5,6421.5,6728.833333333333,6603.333333333333,6471.416666666667,6683.833333333333,6678.916666666667,6796.416666666667,7039.333333333333,6893.0,7049.166666666667,7177.666666666667,7156.916666666667,7462.583333333333,7123.0,7156.666666666667,7147.25,6976.583333333333,6987.916666666667,6722.25,6532.416666666667,6480.833333333333,6183.333333333333,6162.416666666667,6097.833333333333,6038.416666666667,6133.416666666667,6011.0,5904.916666666667,5822.916666666667,5586.333333333333,5501.0,5594.5,5354.666666666667,5328.833333333333,5153.416666666667,4978.166666666667,5198.5,4831.666666666667,4839.5,4764.083333333333,4431.083333333333,4592.0,4471.083333333333,4221.75,4324.833333333333,4010.9166666666665,4011.0833333333335,3937.0833333333335,3616.75,3719.8333333333335,3346.5,3158.1666666666665,3180.75,2.0,9.900000000000002,5.29
